Winery Name,Address,Location,Distance,Activities
Vinariska Vizba Tikves,"ul.812 2, Skopje",Kaj Pivara,3.09 km,"vina - proizvodstvo, predstavnishtva na domasni firmi, vina - trgovija, vinarski vizbi"
Filovski vinarija,"11-ti Oktomvri 23-a-1/1, Skopje",11-ti Oktomvri,661 m,"vina - proizvodstvo, vinarski vizbi"
Bord lajf vinarii,"s.Kuckovo, Skopje",,12 km,"vinarski vizbi, vina - proizvodstvo, vinoteki (vinarnici)"
Divino Vinarija,"bul.Makedonska Kosovska brigada 30-b, Skopje",bul.Makedonska Kosovska brigada,1.55 km,"vina - proizvodstvo, pijalaci - alkoholni - proizvodstvo, vinarski vizbi"
Vinarska Vizba Tikves-Prodavnica Centar,"Tome Pure 2, Skopje",,2 km,"vinarski vizbi, vinoteki (vinarnici)"
Vinar,"Sremski Front 31, Skopje",Gjorce Petrov,7.40 km,"vina - proizvodstvo, vinoteki (vinarnici)"
Vinarija Brzanov,"Gjorce Petrov 4, Skopje","Porta Vlae, na kruzniot tek na Partizanska",5.47 km,vina – proizvodstvo
Vinarska Vizba Tikves,"29-ti Noemvri 5, Kavadarci",,78 km,"vinarski vizbi, iso standardizirani firmi, vina - proizvodstvo, vina - trgovija, pijalaci - alkoholni - proizvodstvo, izvoznici, 200 najuspeshni"
Vinarija Popov,"Goce Delcev, s.Rosoman 13-a, Kavadarci",s.Rosoman,77 km,"vinarski vizbi, vina – proizvodstvo"
Tristo Vinarii,"s.Sujaklari, Veles",,38 km,"vina - proizvodstvo, vinarski vizbi, vinoteki (vinarnici)"
Vinarija Ohrid,"Zeleznicka b.b., Ohrid",Zeleznicka,110 km,vinarski vizbi
Stobi Vinarija,"Avtopat, s.Gradsko 2, Veles",,62 km,"vina - proizvodstvo, vinarski vizbi, restorani"
Lazar Vinarija,"Arheoloski Lokalitet Stobi Gradsko, Veles",Arheoloski Lokalitet Stobi,67 km,"vinarski vizbi, vina - proizvodstvo, vina - trgovija, apartmani i privatni sobi - iznajmuvanje, restorani"
Kralska Vinarija-Kralica Marija,"Marshal Tito 63, Demir Kapija",,93 km,"vinoteki (vinarnici), vinarski vizbi, restorani, apartmani i privatni sobi - iznajmuvanje, vina – proizvodstvo"
Vinarija Iliev,s.Sopot,Kavadarci,75 km,vinarski vizbi
Vinarija Kimov,"Industriska b.b., Negotino",,80 km,vinarski vizbi
Semejna Vinarija Zaharcev,"Kosovska 16, Kavadarci",,78 km,"vinarski vizbi, vinoteki (vinarnici)"
Vinarija Tomov,"s.Timjanik, Negotino",s.Timjanik,80.6 km,vinarski vizbi
